Number,Name,Program Details,Applicants,Category,Link
95,3M Research & Development (R&D) Program,"As an R&D Intern working in our core discipline areas, you’ll be working with senior researchers on a project that is more focused in technologies and products that 3M is best known for. These include technologies and products that are based on 3M traditional core technologies such as adhesives, abrasives, optical materials, fluorochemicals and advanced polymers.  Or you could be working in any number of 3M’s proprietary process technologies including non-wovens, microreplication, extrusion processing and precision coatings.","Junior, Senior","More, Research, Software, Technology",https://www.3m.com/3M/en_US/careers-us/students/research-and-development/
96,Aramark,"Step Up to Leadership (S2L) program, Our Step Up to Leadership (S2L) program is a paid summer internship, a 10-12 week learning experience for college sophomores, juniors, and seniors. Through S2L, you’ll receive exposure to impactful work and dynamic responsibilities that provide you with valuable insights and experience. You’ll be Aramark’s boots on the ground, rolling up your sleeves and working alongside leaders to learn the ins and outs of your location’s operation. The S2L program also gives you access to resources and supportive mentors that help improve your resume and provide a solid foundation for a promising career","Junior, Senior, Sophomore","Data Science, Engineering, HR, Marketing, Operations, Software, Technology",https://careers.aramark.com/career-area/early-careers/
97,Citi ID,"Citi is committed to a diverse and inclusive workforce that represents the places where we operate and the clients we serve. The Early Identification Program is focused on investing, identifying, mentoring, and hiring top talent across the firm. 
Citi's Early ID Program is an exclusive 3-week virtual program focused on:
• TRAINING & WEBINARS
• INTENSIVE INTERVIEW ONE-ON-ONE PREPARATION
• MENTORSHIP
",Sophomore,"Business, Finance, Leadership",https://jobs.citi.com/job/new-york/early-id-program-services-securities-services-2025-new-york-city/287/72079112000
98,Discover,"Diversity Accelerator and Explore Discover, 
• Diversity Accelerator: A 3-day event at our Global Headquarters in Riverwoods, IL. Students from all schools who identify with a group that is historically underrepresented, including but not limited to Black, Hispanic/Latine, and women in technology are encouraged to apply. 
• Explore Discover: This program is designed to introduce students to Discover’s culture while growing your skill set. Events will be hosted virtually throughout the summer of 2024.",Sophomore,"Finance, Leadership, Software, Technology",https://jobs.discover.com/opportunities/students-and-graduates/us-student-programs/
99,ERIE Insurance Future Focus,"Erie Insurance is committed to helping students learn and grow through our Future Focus Internship Program, which offers challenging opportunities for students to gain relevant and real-world business experience at a Fortune 500 company.
Our internships are paid, competitive and available in many disciplines. The majority of our internship opportunities are located at our headquarters in Erie, but there may be some claims and sales internship opportunities available in our field offices.","Junior, Sophomore","Finance, Leadership, Operations",https://www.erieinsurance.com/careers/intern
100,Gray's Future Focus,"Are you among the best and brightest at your college or university and are contemplating what's next? Stop waiting for ""real life"" to start and put your knowledge to the test. Launch your media career with Gray Media's Future Focus paid internship program!As a paid intern, you won't sit and watch someone else doing their job. Gray's Future Focus program is an immersive experience where you serve as a valued member of our award-winning teams.","Junior, Senior","Media, Operations",https://gray.tv/careers
101,HF Sinclair,"HF Sinclair offers a robust internship for students seeking to gain real-life experience in the energy industry. We pride ourselves in presenting university students the opportunity to impact their team while employed with us in the summer. In our Velocity program at HF Sinclair, you will be given an individual project to work on throughout the 10 weeks as well as daily tasks assigned to you by your manager. All of the work assigned to our interns are real world functions that are essential to the success of our business. At HF Sinclair we offer a multitude of internship opportunities from technical roles at our various sites like chemical engineering and health and safety, to corporate opportunities like procurement and human resources.","Junior, Senior",Business,https://careers.hfsinclair.com/go/Early-Career/8762000/
102,Kinder Morgan BOLT,"If you are a student currently pursuing a degree in higher education and are interested in the energy industry, Kinder Morgan’s BOLT Internship Program might be for you!We have summer internship positions available across the country in a variety of disciplines ranging from technical to business – all with a focus on Building Opportunities and Learning Together.Our BOLT Interns are assigned meaningful projects and spend 12 weeks gaining hands-on experience while enhancing their professional and interpersonal skills.  ","Junior, Senior","Operations, Software, Technology",https://www.kindermorgan.com/Careers/Working-at-Kinder-Morgan
103,Mattel Future Leaders Innovating Play (FLIP) Leadership Program,"The Mattel Future Leaders Innovating Play (FLIP) Leadership Program is a part of Mattel’s https://corporate.mattel.com/play-fair initiative, which invests in the next generation of the Black community with intention by providing access and opportunities, and articulates the actions we are taking to address racism, injustice and violence against the Black community. ",NA,Leadership,https://corporate.mattel.com/careers/internships
104,Organon SPOT,"The Organon Global Procurement & Supplier Management (GPSM) Organization partners with the business to develop and execute direct and indirect sourcing strategies, enabled by agile business processes and strong supplier performance management, to drive improved business outcomes.","Junior, Senior","Business, Management",https://jobs.organon.com/us/en/job/R529963/Strategic-Procurement-Operations-Team-SPOT-%C2%A0-Summer-Internship
105,Pfizer Futures,"Starting in 2025, undergraduate students are invited to join Pfizer Futures (formerly Summer Growth Experience). Pfizer Futures provides meaningful real-world experience for early talent interested in pursuing a career in the pharmaceutical industry. Pfizer Futures participants will be deployed to Pfizer sites across the United States and will support their division’s goals and initiatives while building relationships, connecting with leadership, and learning how Pfizer lives its purpose, creating “Breakthroughs that change patients’ lives”. Eligible applicants must be current Freshmen – Seniors at an accredited college or university at time of application.","Freshman, Junior, Senior, Sophomore",Medical,https://www.pfizer.com/en/about/careers/early-careers
106,"RTX ","Leadership Development Program Intern - Human Resources: What You Will Do
• Work collaboratively across HR functions and teams to create high-impact HR solutions in the areas of Human Resources Partner, Total Rewards, Employee/Labor Relations, Talent Acquisition, DE&I, &/or People Services
• Stretch your capabilities and enhance learning with a frontline, hands-on assignment directly connected to meeting business objectives","Junior, NA, Senior","Leadership, Operations",https://careers.rtx.com/global/en/job/01715383/Leadership-Development-Program-Intern-Human-Resources-Starts-May-2025
107,Selective Ignite,"Unlock opportunity with Selective’s Ignite Internship program offering a dynamic and immersive experience for college students interested in the insurance industry. Interns put their education into action by tackling real-world business challenges while building industry and professional acumen. With on-the-job training and structured development and mentorship programs, Interns enjoy many opportunities for professional growth and skill enhancement.","Junior, Senior","Finance, Operations",https://www.selective.com/careers/early-career
108,Splunk,"Splunktern: Work on real projects and grow your career. In addition to hands-on experience, we offer unique opportunities — including Tech Talks with senior leadership, robust development resources, mentorship, social events and more.
Enjoy the experience. We’re committed to creating a fun environment through a series of virtual and in-person events. We believe an enjoyable atmosphere fosters creativity, collaboration and a sense of belonging.","Junior, Senior","Software, Technology",https://www.splunk.com/en_us/careers/splunkterns.html
109,"Synchrony ","Ready to show yourself what’s possible at the end of your sophomore year? We’ve got a four-day immersive program that will totally engage you into Synchrony’s business and the credit services and payments industry. You’ll learn a lot, including about our innovative approach to customer engagement. This BLP-Sophomore Externship is designed specifically for rising juniors. This interactive and engaging experience is filled with executive networking, senior leader Q&A, cases studies, community service and much more! The BLP-Sophomore Externship is an outstanding opportunity for you to build your network and your resum‌é all while having some fun along the way!",Sophomore,"Finance, Leadership, Sales",https://www.synchronyuniversity.com/programs/#externship
110,ThermoFisher leadership development program,"For those who recently graduated or are preparing to graduate with a bachelor's degree and are ready to fast-track their career development - look no further than our best-in-class Leadership Development Programs.From working in our corporate offices, to the production floor, and everything in between, our two-year rotational programs span a variety of locations, functional areas, and roles to suit your interests and career goals. You can rest assured that you will be equipped with the resources needed to succeed including formal mentorship and training opportunities.","Junior, Senior","Leadership, Operations",https://jobs.thermofisher.com/global/en/undergraduate-leadership-development-programs
111,U.S. Bank,"Asset Management - Direct placement, Business Banking - Rotational program, Capital Markets - Direct placement, Credit Analysis - Direct placement, Experience Design - Rotational program, Finance - Rotational program, Financial Crimes - Rotational program, Information Security - Rotational program, Investment Services - Direct placement, Operations - Direct placement, Product Management - Direct placement, Relationship Management - Direct placement, Software & Infrastructure Engineering - Rotational program, Wealth Management - Direct placement","Junior, Multiple programs / Different applicant prerequisites, Senior","Business, Design, Engineering, Finance, Leadership, Management, Operations",https://careers.usbank.com/global/en/student/career-development-programs
112,Valero,"Valero’s Freshman Engineering Summit and Scholarship Program is designed for college engineering majors who are completing their freshman year. Earn $1,500 for your education and enjoy a four-day experience in May 2025 with Team Valero – the world’s largest independent refiner and leading innovator in fuels manufacturing and marketing.
Explore engineering from all sides as you create a professional network, gain strategies for success and build industry knowledge for an exceptional career.",Freshman,"Engineering, Software, Technology",https://www.valero.com/careers/university-recruiting
113,Wayfair,"Our Early Leaders program is an opportunity for second-year students from diverse communities to join us for a week-long, immersive inclusion experience. You’ll gain exposure to core functional areas of our business, while honing your communication, analytical and leadership skills. This is an ideal resume-building opportunity if you’re passionate about e-commerce and technology, and it could turn into an internship opportunity with Wayfair. The program is typically held during the third week of May, just after the completion of your academic year.",Sophomore,"Business, Leadership, Operations",https://www.aboutwayfair.com/careers/early-leaders-program
114,Xylem Ignite,"Xylem Ignite is our global youth program to build a strong network of passionate student leaders and empower them to drive real changes in the water industry.

We recognize the mounting environmental challenges impacting humankind and the need to prepare the next generation of young talents to solve water issues. Under our 3 key program pillars – Innovation, Education & Community Involvement, many activities ranging from hackathons to the Incubator program, are held to enroll, ignite and nurture our NextGen Water Leaders.","Freshman, Junior, Senior, Sophomore",Biotechnology,https://www.xylem.com/en-us/sustainability/community/xylem-ignite/
115,Sony Pictures,"Our Emerging Talent Programs include Interns, Trainees and Finance Rotational Associates at our offices in Culver City, Miami, New York City, Chicago, Toronto and London.
• Ideal for undergraduate and graduate-level students or entry level talent
• Spring, Summer, and Fall sessions
• Part-time hours during the Fall and Spring sessions (10-29 hours a week) and 40 hours a week over the Summer session (hours may vary based on team and location)","Junior, Senior","Finance, Operations, Software, Technology",https://www.sonypicturesjobs.com/internships
116,Vanguard,"The College to Corporate Internship program offers high-potential undergraduate students the opportunity to work on real-world challenges, expand their expertise, and gain invaluable insights into our business, culture, and values. This 10-week paid internship provides a path into the Vanguard Specialty Programs.","Junior, Senior","Operations, Software, Technology",https://www.vanguardjobs.com/students/
119,Spotify,"Global Summer Internship Program
We offer a huge range of opportunities across our business, product and technical teams, and the chance to make a direct impact on how we amplify the voices of creators and inspire and entertain the world. Internship spots are available in multiple locations around the world.","Junior, Senior","Business, Operations",https://www.lifeatspotify.com/students
120,SAP STAR,"The SAP Student Training and Rotation (STAR) Program is a multi-year undergraduate rotational program that is designed to employ students over internships, with the ultimate goal of gaining full-time employment with SAP upon graduation. This is a global program which runs in multiple countries with over 1,000 students enrolled. The STAR program allows students to get hands-on experience and rotate between multiple teams within the Corporate Marketing organization. Selected students will be eligible to complete an international rotation in one of over 200 worldwide office locations.","Junior, Senior, Sophomore","Marketing, Operations, Software, Technology",https://jobs.sap.com/job/Bellevue-SAP-Student-Training-and-Rotation-%28STAR%29-Program-Corporate-Marketing-Bellevue-WA-98004/1142818301/?feedId=384233&utm_campaign=SAP_Linkedin&utm_source=LinkedinJobPostings
121,Beats by Dre,"Beats Academy LA is an 8-week paid program designed for aspiring creators.
Based in Los Angeles, the program offers college students in 2 and 4-year programs (including students in graduate and technical school programs) a unique opportunity to create social media content featuring Beats' college athlete ambassadors. As part of a program built around community and artistry, our creators will gain exposure to the tech and advertising industry while learning from top creative marketing professionals.","Junior, Senior, Sophomore",Media,https://www.beatsbydre.com/company/beats-academy
122,Box,"When students think about careers in tech they think the only path is engineering. But it takes more than engineering to run a tech company. The Box Business Fellowship is an opportunity for students to explore business careers in the tech industry. We’re especially excited to build connections with students who identify with historically underrepresented groups in tech. Over the course of one month, you will learn business essentials about different roles in business, such as Sales, Marketing, and Customer Success. You will participate in weekly workshops to learn professional development essentials in business and then practice those skills with the help of BBF Mentors. ","Junior, Senior, Sophomore","Business, Marketing, More, Operations, Sales",https://careers.box.com/en/box-business-fellowship/
123,Stellantis,"The Stellantis Supplier Quality Student Program allows individuals to gain experience and exposure across the many different facets of a strategic enterprise. Within the program, students will support supplier quality, in one of Stellantis commodities functional areas.","Freshman, Junior, Sophomore","More, Operations, Software, Technology",https://careers.stellantis.com/job/19299532/supplier-quality-development-student-program/#tab-id-1
,,,,,
,,,,,
,,,,,
